"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,p_earned_run,p_run,p_save,p_blown_save,p_out,p_win,p_loss,p_wild_pitch,p_balk,p_shutout,p_era,p_opp_batting_avg,p_opp_on_base_avg,p_total_stolen_base,p_quality_start,p_run_support,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Kelly, Merrill",518876,2022,33,33,200.1,804,739,167,104,40,2,21,177,61,22.0,7.6,0.226,0.371,0.286,0.657,0.145,0.269,75,77,0,0,601,13,8,4,1,0,3.37,,,15,18,113,0.229,0.397,0.289,0.299,0.29,0.168,,,,,,,,,,,,,88.5,14.0,31.2,8.3,36.5,77.983406942,93.653412973,23.6,48.5
"Davies, Zach",605200,2022,29,27,134.1,570,507,122,79,20,2,21,102,52,17.9,9.1,0.241,0.412,0.309,0.721,0.171,0.258,61,66,0,0,403,2,5,1,0,0,4.09,,,7,4,46,0.25,0.444,0.315,0.333,0.321,0.194,,,,,,,,,,,,,87.4,13.0,31.6,8.0,34.5,75.6872467,93.596934025,21.5,42.2
"Moronta, Reyes",606625,2022,29,39,37.2,161,140,30,19,5,1,5,38,18,23.6,11.2,0.214,0.371,0.311,0.682,0.157,0.255,18,20,2,2,113,2,2,8,0,0,4.3,,,3,0,16,0.19,0.337,0.301,0.283,0.294,0.147,,,,,,,,,,,,,86.4,23.4,33.0,6.8,35.0,74.2159484,93.3748374,27.1,44.9
"Jameson, Drey",686753,2022,24,4,24.1,98,90,20,14,4,0,2,24,7,24.5,7.1,0.222,0.333,0.286,0.619,0.111,0.281,4,4,0,0,73,3,0,1,0,0,1.48,,,2,3,16,0.265,0.43,0.277,0.331,0.325,0.165,,,,,,,,,,,,,88.9,3.2,30.3,7.6,48.5,77.616328182,94.419639394,26.7,48.8
"Uceta, Edwin",670955,2022,24,10,17.0,73,65,14,8,4,0,2,13,7,17.8,9.6,0.215,0.369,0.301,0.67,0.154,0.24,11,12,0,0,51,0,0,1,0,0,5.82,,,0,0,10,0.226,0.349,0.299,0.296,0.311,0.123,,,,,,,,,,,,,86.9,13.8,21.2,5.8,38.5,75.757330385,93.056290192,24.8,45.5
"Nelson, Ryne",669194,2022,24,3,18.1,69,62,9,4,2,1,2,16,6,23.2,8.7,0.145,0.306,0.217,0.523,0.161,0.156,3,4,0,0,55,1,1,0,0,0,1.47,,,0,2,4,0.177,0.314,0.224,0.241,0.246,0.137,,,,,,,,,,,,,89.6,25.8,27.7,6.4,36.2,80.680324167,93.690793404,23.6,43.5
"Nelson, Kyle",669459,2022,25,43,37.0,151,134,26,14,11,0,1,30,14,19.9,9.3,0.194,0.299,0.285,0.584,0.105,0.243,9,10,0,0,111,2,1,1,0,0,2.19,,,1,0,14,0.234,0.386,0.266,0.313,0.32,0.152,,,,,,,,,,,,,88.5,13.7,31.7,7.7,38.5,78.393184118,93.578171287,26.6,48.2
"Middleton, Keynan",641871,2022,28,18,17.0,69,64,16,7,4,0,5,15,3,21.7,4.3,0.25,0.547,0.294,0.841,0.297,0.25,10,13,0,2,51,1,2,1,0,0,5.29,,,3,0,21,0.276,0.531,0.359,0.363,0.319,0.255,,,,,,,,,,,,,87.6,20.3,44.0,12.0,38.0,75.824922,93.852013878,36.6,54.4
"Peacock, Matt",676840,2022,28,9,10.0,46,42,12,10,1,0,1,6,4,13.0,8.7,0.286,0.381,0.348,0.729,0.095,0.314,6,6,0,0,30,0,0,1,0,0,5.4,,,0,0,3,0.257,0.387,0.324,0.314,0.323,0.13,,,,,,,,,,,,,87.9,2.0,30.6,5.6,36.1,77.421604444,93.367112,22.1,51.7
"Kennedy, Ian",453178,2022,37,57,50.1,232,205,57,34,11,1,11,44,22,19.0,9.5,0.278,0.502,0.346,0.848,0.224,0.301,30,33,10,6,151,4,7,3,0,0,5.36,,,4,0,17,0.282,0.528,0.36,0.374,0.355,0.245,,,,,,,,,,,,,92.2,21.5,44.5,12.2,45.1,83.392708902,95.161732147,19.4,50.1
"Bumgarner, Madison",518516,2022,32,30,158.2,698,637,179,101,50,3,25,112,49,16.0,7.0,0.281,0.487,0.34,0.827,0.206,0.307,86,97,0,0,476,7,15,2,0,0,4.88,,,15,6,69,0.276,0.512,0.357,0.365,0.337,0.236,,,,,,,,,,,,,90.3,16.8,37.7,9.8,43.2,79.789796,94.764788192,18.2,48.4
"Melancon, Mark",453343,2022,37,62,56.0,247,224,63,48,10,0,5,35,21,14.2,8.5,0.281,0.393,0.346,0.739,0.112,0.315,29,37,18,3,168,3,10,6,0,0,4.66,,,3,0,11,0.28,0.442,0.325,0.341,0.345,0.162,,,,,,,,,,,,,89.7,10.9,36.3,6.8,38.9,79.793358936,94.01804893,20.8,47.7
"Wendelken, J.B.",605525,2022,29,29,29.0,122,107,25,18,3,0,4,21,14,17.2,11.5,0.234,0.374,0.328,0.702,0.14,0.256,17,18,0,0,87,2,1,1,0,0,5.28,,,2,0,22,0.297,0.482,0.314,0.378,0.384,0.185,,,,,,,,,,,,,87.9,13.4,32.6,7.0,32.6,77.094962093,93.461895294,22.2,46.1
"Henry, Tommy",674072,2022,24,9,47.0,205,179,47,29,8,0,10,36,21,17.6,10.2,0.263,0.475,0.348,0.823,0.212,0.276,28,28,0,0,141,3,4,3,0,0,5.36,,,2,2,32,0.249,0.449,0.357,0.34,0.336,0.201,,,,,,,,,,,,,90.0,13.7,36.6,9.0,39.3,79.412763239,94.678987394,23.4,49.2
"Keuchel, Dallas",572971,2022,34,14,60.2,303,269,94,59,21,3,11,45,31,14.9,10.2,0.349,0.572,0.413,0.985,0.223,0.384,62,69,0,0,182,2,9,3,0,0,9.2,,,0,2,27,0.288,0.474,0.419,0.359,0.359,0.187,,,,,,,,,,,,,88.8,5.5,39.6,8.8,39.2,77.907522281,93.97665511,22.5,45.1
"Weaver, Luke",596133,2022,28,26,35.2,174,155,52,36,15,0,1,38,13,21.8,7.5,0.335,0.452,0.391,0.843,0.117,0.429,26,29,0,0,107,1,1,2,0,0,6.56,,,2,0,14,0.285,0.458,0.367,0.356,0.352,0.173,,,,,,,,,,,,,91.5,11.2,40.0,10.8,45.0,81.231668833,95.450290417,22.8,52.8
