"last_name, first_name",player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
"Kelly, Carson",608348,2023,28,136,151,28,21,5,0,2,40,14,26.5,9.3,0.206,0.287,0.278,0.565,0.081,0.274,13,57,39,0,1,0.185,0.286,0.255,0.248,0.262,0.101,70.4,6.7,11.0,8.1,33.9,24.8,7.1,0.0,11.1,-3.2,55.0,31.5,86.8,15.6,27.8,2.1
"Lewis, Kyle",641786,2023,27,51,54,8,5,2,0,1,21,3,38.9,5.6,0.157,0.255,0.204,0.459,0.098,0.241,2,15,13,0,0,0.179,0.264,0.204,0.217,0.225,0.084,71.0,14.3,10.0,5.7,25.0,14.3,7.1,0.0,17.4,0.0,42.9,38.9,89.1,23.6,26.7,6.7
"Rivera, Emmanuel",656896,2023,27,257,283,67,50,13,0,4,56,22,19.8,7.8,0.261,0.358,0.314,0.672,0.097,0.313,29,106,92,0,1,0.261,0.404,0.295,0.315,0.317,0.143,69.4,6.0,12.0,8.3,41.0,28.6,7.0,4.0,8.4,-0.1,50.6,34.2,90.7,11.2,35.6,5.9
"Smith, Pavin",656976,2023,27,191,228,36,24,5,0,7,45,35,19.7,15.4,0.188,0.325,0.317,0.642,0.137,0.209,30,88,62,1,1,0.221,0.39,0.293,0.328,0.345,0.169,72.7,11.8,6.3,5.9,18.8,17.6,7.5,1.0,12.6,-8.2,64.7,32.4,89.9,13.8,34.9,7.5
"Zavala, Seby",664874,2023,29,175,193,30,19,4,0,7,70,12,36.3,6.2,0.171,0.314,0.23,0.544,0.143,0.23,18,72,55,0,1,0.188,0.317,0.239,0.251,0.249,0.129,68.9,14.9,10.0,6.8,40.0,27.0,7.2,5.0,17.5,-3.0,51.4,40.9,87.5,14.9,34.9,5.5
"McCarthy, Jake",664983,2023,25,276,312,67,53,7,5,2,62,26,19.9,8.3,0.243,0.326,0.318,0.644,0.083,0.305,16,105,90,4,26,0.241,0.336,0.289,0.295,0.318,0.095,68.8,7.1,4.2,3.2,28.6,21.8,6.9,1.0,10.8,-3.1,56.4,34.6,85.3,7.5,32.0,2.3
"Fletcher, Dominic",666150,2023,25,93,102,28,20,5,1,2,22,7,21.6,6.9,0.301,0.441,0.35,0.791,0.14,0.377,14,36,41,2,0,0.223,0.339,0.34,0.267,0.278,0.116,,,,,,,,,,,,,89.7,8.5,38.4,4.1
"Rojas, Josh",668942,2023,29,314,350,77,56,17,0,4,81,27,23.1,7.7,0.245,0.338,0.303,0.641,0.093,0.313,40,125,106,0,12,0.228,0.331,0.284,0.278,0.29,0.103,67.9,0.9,9.5,7.4,39.1,30.4,7.3,3.0,11.8,-2.6,58.7,33.3,87.1,13.0,35.6,3.8
"Kennedy, Buddy",671083,2023,24,24,29,4,3,1,0,0,6,4,20.7,13.8,0.167,0.208,0.31,0.518,0.041,0.222,1,14,5,0,0,0.225,0.285,0.255,0.304,0.358,0.06,69.8,5.0,6.9,5.0,44.8,32.5,7.3,0.0,5.5,-9.8,45.0,36.7,84.8,15.3,44.4,0.0
"Moreno, Gabriel",672515,2023,23,341,380,97,70,19,1,7,75,29,19.7,7.6,0.284,0.408,0.339,0.747,0.124,0.338,50,154,139,2,6,0.264,0.391,0.325,0.316,0.325,0.127,70.3,13.3,16.5,14.2,34.5,29.6,7.1,4.0,7.3,7.8,40.8,35.3,89.8,4.2,32.6,4.8
"Perdomo, Geraldo",672695,2023,23,407,495,100,70,20,4,6,86,64,17.4,12.9,0.246,0.359,0.353,0.712,0.113,0.295,47,177,146,4,16,0.203,0.277,0.319,0.277,0.318,0.074,65.7,2.5,4.5,3.9,42.0,36.3,6.7,12.0,9.5,-1.2,47.9,35.8,85.7,16.4,35.4,0.9
